Classifier,Field1,Field2,Field3,,accuracy, precision, recall, f1, f2
Naive Bayes, total_payments, total_stock_value, exercised_stock_options, , 0.84827, 0.38500, 0.23100, 0.28875, 0.25109
Naive Bayes, total_payments, total_stock_value, bonus, , 0.84913, 0.38996, 0.23300, 0.29171, 0.25340
Naive Bayes, total_payments, total_stock_value, restricted_stock, , 0.85380, 0.39384, 0.17900, 0.24613, 0.20092
Naive Bayes, total_payments, total_stock_value, shared_receipt_with_poi, , 0.84767, 0.35504, 0.17450, 0.23399, 0.19426
Naive Bayes, total_payments, total_stock_value, to_messages, , 0.84987, 0.36929, 0.17800, 0.24022, 0.19857
Naive Bayes, total_payments, total_stock_value, from_messages, , 0.85400, 0.39560, 0.18000, 0.24742, 0.20202
Naive Bayes, total_payments, total_stock_value, from_poi_ratio, , 0.85267, 0.38854, 0.18300, 0.24881, 0.20465
Naive Bayes, total_payments, total_stock_value, shared_receipt_poi_ratio, , 0.85227, 0.38412, 0.17900, 0.24420, 0.20040
Naive Bayes, total_payments, total_stock_value, to_poi_ratio, , 0.85267, 0.38854, 0.18300, 0.24881, 0.20465
Naive Bayes, total_payments, total_stock_value, bonus_salary_ratio, , 0.85267, 0.38854, 0.18300, 0.24881, 0.20465
Naive Bayes, total_payments, total_stock_value, exercised_stock_percent, , 0.85267, 0.38854, 0.18300, 0.24881, 0.20465
Naive Bayes, total_payments, total_stock_value, bonus_total_ratio, , 0.85267, 0.38854, 0.18300, 0.24881, 0.20465
Naive Bayes, total_payments, exercised_stock_options, bonus, , 0.84921, 0.44739, 0.23600, 0.30900, 0.26063
Naive Bayes, total_payments, exercised_stock_options, restricted_stock, , 0.85273, 0.38703, 0.17900, 0.24479, 0.20056
Naive Bayes, total_payments, exercised_stock_options, shared_receipt_with_poi, , 0.85560, 0.40438, 0.17550, 0.24477, 0.19790
Naive Bayes, total_payments, exercised_stock_options, to_messages, , 0.85547, 0.40455, 0.17800, 0.24722, 0.20045
Naive Bayes, total_payments, exercised_stock_options, from_messages, , 0.85940, 0.43473, 0.18150, 0.25608, 0.20543
Naive Bayes, total_payments, exercised_stock_options, from_poi_ratio, , 0.84957, 0.43660, 0.18250, 0.25740, 0.20654
Naive Bayes, total_payments, exercised_stock_options, shared_receipt_poi_ratio, , 0.85980, 0.43727, 0.17950, 0.25452, 0.20349
Naive Bayes, total_payments, exercised_stock_options, to_poi_ratio, , 0.85000, 0.44005, 0.18350, 0.25900, 0.20772
Naive Bayes, total_payments, exercised_stock_options, bonus_salary_ratio, , 0.84936, 0.43410, 0.17950, 0.25398, 0.20335
