max_features, max_depth, min_samples_split,, accuracy, precision, recall, f1, f2
1,None,2,,0.8345,0.504013761468,0.4395,0.469551282051,0.45104679803
1,None,4,,0.837333333333,0.514925373134,0.414,0.458980044346,0.43089092423
1,None,6,,0.839333333333,0.521844660194,0.43,0.47149122807,0.445688225539
1,None,8,,0.836166666667,0.510455104551,0.415,0.457804743519,0.431124039061
1,5,2,,0.843916666667,0.551417004049,0.3405,0.421020092736,0.368706009746
1,5,4,,0.84175,0.540239043825,0.339,0.416589861751,0.366288492707
1,5,6,,0.836416666667,0.513734224202,0.346,0.413504631013,0.37017224778
1,5,8,,0.8385,0.522431259045,0.361,0.426966292135,0.384779364741
1,6,2,,0.835333333333,0.507832898172,0.389,0.440543601359,0.40809903483
1,6,4,,0.842416666667,0.538353272343,0.3825,0.44723764981,0.406007854792
1,6,6,,0.840333333333,0.527096774194,0.4085,0.460281690141,0.427748691099
1,6,8,,0.834666666667,0.505376344086,0.376,0.43119266055,0.39629005059
1,7,2,,0.83725,0.514660012477,0.4125,0.457951706911,0.429553264605
1,7,4,,0.840166666667,0.527553763441,0.3925,0.450114678899,0.413680438449
1,7,6,,0.840666666667,0.527707808564,0.419,0.467112597547,0.43700458907
1,7,8,,0.834333333333,0.503703703704,0.408,0.450828729282,0.424116424116
1,8,2,,0.833833333333,0.501718213058,0.438,0.467698878804,0.449415144675
1,8,4,,0.840083333333,0.52617970265,0.407,0.458979419228,0.426311930449
1,8,6,,0.8405,0.526315789474,0.43,0.473307649972,0.44633589371
1,8,8,,0.836416666667,0.511731135067,0.4035,0.45121610288,0.421321917093
1,9,2,,0.831583333333,0.493848857645,0.4215,0.454815214459,0.434222725868
1,9,4,,0.838833333333,0.520754716981,0.414,0.461281337047,0.431699687174
1,9,6,,0.83975,0.522740696988,0.4425,0.479285134037,0.456515010833
1,9,8,,0.83975,0.524413443247,0.4135,0.462398658093,0.431763600292
1,10,2,,0.834333333333,0.503448275862,0.438,0.468449197861,0.449691991786
1,10,4,,0.836666666667,0.512642225032,0.4055,0.452819653825,0.423189313296
1,10,6,,0.839666666667,0.522700119474,0.4375,0.476320087099,0.452243125904
1,10,8,,0.836166666667,0.510625,0.4085,0.453888888889,0.425520833333
2,None,2,,0.836166666667,0.509350935094,0.463,0.485070717653,0.471582807089
2,None,4,,0.84475,0.540508574808,0.457,0.49525873747,0.471571561242
2,None,6,,0.846416666667,0.545140885566,0.474,0.507087456539,0.486702946914
2,None,8,,0.84525,0.540880503145,0.473,0.504667911443,0.485177966971
2,5,2,,0.851,0.574438202247,0.409,0.477803738318,0.433998302207
2,5,4,,0.854833333333,0.594298245614,0.4065,0.482779097387,0.433923996584
2,5,6,,0.855583333333,0.590508474576,0.4355,0.501294964029,0.45963060686
2,5,8,,0.85,0.56518904824,0.4335,0.490662139219,0.454688483323
2,6,2,,0.846833333333,0.549390243902,0.4505,0.495054945055,0.467323651452
2,6,4,,0.84875,0.558804831532,0.4395,0.492023509656,0.459103729238
2,6,6,,0.851166666667,0.564071856287,0.471,0.513351498638,0.487073422958
2,6,8,,0.845666666667,0.545735475896,0.4415,0.488114980652,0.459035142441
2,7,2,,0.83675,0.511614730878,0.4515,0.4796812749,0.462365591398
2,7,4,,0.84675,0.55009334163,0.442,0.49015802606,0.460081190798
2,7,6,,0.848916666667,0.555162241888,0.4705,0.509336941813,0.485301701908
2,7,8,,0.842,0.530267753201,0.4555,0.490048413125,0.468717843178
2,8,2,,0.83725,0.513048306496,0.462,0.486187845304,0.47138047138
2,8,4,,0.847333333333,0.551533742331,0.4495,0.495316804408,0.466770508827
2,8,6,,0.846916666667,0.547856723429,0.4665,0.503915743991,0.480779140472
